
                                    144BBS.TXT
           US BBS's Supporting v.32, v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
         9600 v.32/14.4k v.32bis/14.4k HST/16.8 ZyXEL Lines Available

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
404-292-7797  White Wolf Connect          Atlanta            GA     V32B
404-333-1763  Le Chateau                  Smyrna             GA     V32B
404-351-2975  Swizzle Stick               Atlanta            GA     V32B
404-381-0430  Astralite                   Norcross           GA     V32
404-414-4400  COM1: Atlanta PCUG BBS      Atlanta            GA     V34
404-443-0366  H.A.B.I.T.S.                Marietta           GA     V32
404-446-1252  Mortgage Network            Norcross           GA     V32
404-447-5619  S.L.I.M.E.                  Norcross           GA     VFC
404-466-3994  The Eagle Line              Loganville         GA     V32B
404-474-1394  The Grave Digger BBS        Stockbridge        GA     V32B
404-476-5834  Hiram's Light Masonic BBS   Duluth             GA     V32B
404-477-8942  Windows Online America      Jonesboro          GA     V32B
404-495-9479  The Data Dimension          Duluth             GA     VFC
404-509-7813  The Base BBS                Marietta           GA     V32B
404-532-1978  Ed's Place                  Gainesville        GA     V32B
404-548-0726  Classic City #1             Athens             GA     V32
404-671-1024  Galaxy Info System(GIS)     Atlanta            GA     V32
404-687-7309  Columbus Connection         Columbus           GA     V32
404-739-1216  Bear Cat BBS                Atlanta            GA     V32B
404-742-7736  Express Line BBS 2          Winterville        GA     V32B
404-742-8313  Express Line BBS 1          Winterville        GA     V32B
404-749-0680  MPC BBS                     Cedartown          GA     V32B
404-793-8619  Wizard's Workshop           Augusta            GA     V32B
404-798-3864  The Beehive RBBS            Hephzibah          GA     V32
404-863-3450  Soldier's Bored             Augusta            GA     V32
404-879-1600  R.'s Little BBS             Stone Mountain     GA     V32
404-881-8319  Our House BBS               Atlanta            GA     V32
404-907-4361  Abject Poverty BBS          Riverdale          GA     V32B
404-920-0621  Total Recall BBS            Douglasville       GA     V32
404-924-8472  INDEX System                Woodstock          GA     V32
404-926-1043  Woodstock BBS 2             Woodstock          GA     V32
404-931-3991  Cyber-X BBS                 Marietta           GA     VFC
404-933-9253  Digital Wasteland           Atlanta            GA     V32
404-939-1158  Atlanta Info Systems 2      Atlanta            GA     V32
404-939-1248  Atlanta Info Systems 1      Atlanta            GA     V32B
404-965-7836  Lunar Photon                Ringgold           GA     V32
404-968-0220  Quanah's Revenge BBS        Atlanta            GA     V32B
404-972-2542  SureFire BBS!               Atlanta            GA     V32B
404-972-7684  SureFire BBS!               Atlanta            GA     V32B
404-972-8510  SureFire BBS!               Atlanta            GA     V32B
404-975-7176  U.H.F. BBS                  Acworth            GA     V32
404-978-9636  Android II BBS              Snellville         GA     V32B
404-982-0960  Rock & Roll                 Atlanta            GA     V32B
404-996-9957  Abject Poverty BBS          Riverdale          GA     V32
405-243-3200  PC-Oklahoma                 Elk City           OK     V32
405-248-9884  DarkStar                    Lawton             OK     V32B
405-325-6128  The O.U. BBS                Norman             OK     V32
405-354-6024  ModemLink BBS               Yukon              OK     V32
405-360-4391  The 49'er                   Norman             OK     V32
405-391-3865  Teleco USA TBBS             McLoud             OK     V32B
405-482-2536  Majik Shoppe BBS            Altus              OK     V32
405-624-0301  Amiga Frontier 1            Stillwater         OK     V32
405-765-0167  The Aztec BBS               Ponca City         OK     V32B
405-842-4766  Yellow Stone BBS            Oklahoma City      OK     V32
406-232-0046  Signal Butte BBS            Miles City         MT     V32B
406-257-5432  PC-Mania!                   Kalispell          MT     V32
406-423-5433  The Russell Country BBS     Hobson             MT     V32
406-543-4978  The Joyous Occasion         Missoula           MT     V32B
406-721-6647  Micha U.S. Computers        Missoula           MT     V32
407-239-4213  The Simpsons House          Orlando            FL     V32
407-269-2169  Space Coast BBS             Titusville         FL     V32B
407-269-5188  TechTalk                    Titusville         FL     V32
407-327-4524  Page Three BBS              Winter Springs     FL     V32B
407-365-9809  The Listening Post          Oviedo             FL     V32
407-366-3335  Online X-press              Orlando            FL     V32B
407-383-1372  Rights On!                  Titusville         FL     V32B
407-383-9372  The Bear's Cave             Titusville         FL     V32
407-383-9820  StarShip Enterprise         Titusville         FL     V32B
407-426-8499  Magic City USA              Orlando FL         V3      
407-426-8592  Magic City USA              Orlando FL         V3      
407-426-8689  Magic City USA              Orlando FL         V3      
407-426-8827  Magic City USA              Orlando FL         V3      
407-426-8955  Magic City USA              Orlando FL         V3      
407-426-8959  Magic City USA              Orlando FL         V3      
407-426-9007  Magic City USA              Orlando FL         V3      
407-426-9224  Magic City USA              Orlando FL         V3      
407-467-0223  Gypsy Flight Line           Fort Pierce        FL     VFC
407-496-7468  Brave New World             Delray Beach       FL     V32
407-521-9886  The Caverns EBBS            Orlando            FL     V32
407-575-3853  Jupiter BBS                 Jupiter            FL     V32B
407-624-5998  Cecil's Nite Owl            Palm Beach Garden  FL     V32
407-639-9123  Programmers World           Cocoa              FL     V32B
407-644-9712  The Abyss                   Winter Park        FL     V32
407-649-9834  Electronic Arts BBS         Orlando            FL     V32
407-679-6238  Big Blue                    Orlando            FL     V32
407-682-2018  The Business                Altamonte          FL     V32
407-682-3132  The Door BBS                Altamonte Springs  FL     V32B
407-694-1008  The Court of Last Resort    Palm Beach Garden  FL     V32
407-770-3231  BoyBoy's BBS                Vero Beach         FL     V32B
407-773-0831  The SaddleBag BBS           Satellite Beach    FL     V32
407-788-8178  The Love Connection BBS II  Longwood           FL     V32
407-791-2474  The Telephone Exchange      Royal Palm Beach   FL     V32B
407-831-2359  Ultimate S/W Tech Support   Orlando            FL     V32
407-832-8971  Trojan Express II           West Palm Beach    FL     V32
407-834-6466  FABulous BBS                Orlando            FL     V32
407-878-9800  The Dragon's Lair           Port St Lucie      FL     V32
407-880-4598  The DataExchange            Orlando            FL     V32
407-880-4968  TopRock BBS                 Apopka             FL     V32
407-894-9641  The Lone Wolf               Orlando            FL     V32
407-994-3690  PC-Emporium                 Boca Raton         FL     V32
408-226-1052  The Haunted Castle          San Jose           CA     V32B
408-227-1583  Mike's 'Dis iz Dis' BBS     San Jose           CA     V32
408-229-0706  The Village                 San Jose           CA     V32
408-246-7002  Silicon Valley BBS          San Jose           CA     V32B
408-247-1717  The Micro Foundry           San Jose           CA     V32B
408-257-9606  Fido's Kennel               Cupertino          CA     V32
408-270-2678  The Falcon BBS              San Jose           CA     V32B
408-294-3065  The Flying Dutchman BBS     San Jose           CA     V32B
408-353-4866  The Mountain Mist BBS       Los Gatos          CA     V32B
408-432-3424  The Next Generation         San Jose           CA     V32
408-435-2886  Automation Central          San Jose           CA     V32B
408-438-8514  Seagate Technology          Scotts Valley      CA     V32
408-438-8771  Seagate Technology          Scotts Valley      CA     V32
408-456-0339  Gifted Urban Yuppies        San Jose           CA     V32
408-578-7954  My Scummy Run-Down Hovel    San Jose           CA     V32B
408-626-2655  Dream World BBS             Carmel             CA     V32B
408-637-5181  The Executioner's Block     Hollister          CA     V32B
408-655-5555  Monterey Gaming System      Monterey           CA     V32B
408-655-8294  Nitelog BBS                 Monterey           CA     V32B
408-733-3034  Mongoose BBS                San Jose           CA     V32B
408-737-9447  Higher Powered BBS          Sunnyvale          CA     V32B
408-738-4679  The NEBULA                  Sunnyvale          CA     V32B
408-745-0127  Lynns Live Wire             Sunnyvale          CA     V32
408-866-4933  MaCS1ience BBS              San Jose           CA     V32B
408-883-0744  Two Birds/One Stone BBS     Marina             CA     V32
408-899-1712  Breakwater BBS              Monterey           CA     V32B
408-899-4147  Animation Exchange BBS      Seaside            CA     V34
408-922-0988  TIPS BBS                    San Jose           CA     V32B
408-922-0989  TIPS BBS                    San Jose           CA     V32B
408-923-6321  The Serenity BBS            San Jose           CA     V32B
409-764-0056  My Word 2                   College Station    TX     V32B
409-832-8221  The Foxxhole BBS            Beaumont           TX     V32B
410-247-3797  The NetWork BBS             Baltimore          MD     V32B
410-252-5518  AviTechnic II               Lutherville        MD     V32
410-256-0170  Wit-Tech                    Baltimore          MD     V32B
410-256-7314  PerryHall BBS               Perry Hall         MD     V32
410-327-9263  Pooh's Corner               Fells Point        MD     V32B
410-343-1102  Fisherman's Cove            Parkton            MD     V32
410-437-3463  The Puffin's Nest           Pasadena           MD     V32B
410-466-0949  The Science Lab BBS         Baltimore          MD     V32
410-476-5098  Computer Consulting BBS     Easton             MD     V32
410-531-5748  Polar Bear's Lair           Clarksville        MD     V32B
410-551-2586  The Edge BBS                Severn             MD     VFC
410-566-1336  John's BBS                  Baltimore          MD     V32
410-655-4708  Nerve Center                Pikesville         MD     V32
410-665-1855  Outside the Wall            Baltimore          MD     V32
410-666-9109  Dark Side of the Moon       Cockeysville       MD     V32
410-766-9756  Robin's Nest BBS            Baltimore          MD     V32
410-821-8930  Castle Cafe                 Timonium           MD     V32
410-827-8789  Eastern Shore On-Line       Queenstown         MD     V32
410-880-0965  The Trilogy                 Glen Burnie        MD     V32
410-882-4481  The Wright Place            Baltimore          MD     V32B
410-997-7204  Double Nut Board            Simpsonville       MD     V32
412-226-9549  JABS Talk BBS               Natrona Heights    PA     V32B
412-243-5036  EUAGGELION                  .....              PA     V32B
412-247-4610  Behavioral Vision Project   Pittsburgh         PA     V32B
412-322-6548  No Gurus Here               Pittsburgh         PA     V32
412-482-4722  Info Exchange RBBS-PC #2    Butler             PA     V32
412-588-7863  WRITERS BIZ                 Greenville         PA     V32B
412-653-7540  AutoBoss                    Bunola             PA     V32
412-682-7057  The Meeting Place           Pittsburgh         PA     V32B
412-683-1235  Mac at Night                Pittsburgh         PA     V32
412-766-1086  Milliways                   Pittsburgh         PA     V32B
412-834-1128  E*COM                       Greensburg         PA     V32
412-843-5592  The Fountainhead BBS        New Brighton       PA     V32
412-856-1428  First Sanyo Opus            Trafford           PA     V32B
412-864-2294  Pitt Xpress                 Pittsburgh         PA     V32
413-568-4466  PVCC User Group BBS!!       Westfield          MA     V32B
413-586-2925  Joe's Bar And Grill         Northampton        MA     V32
413-782-2158  Signal Hill                 Springfield        MA     V32B
414-231-6886  Hunt 'N Peck                Oshkosh            WI     V32
414-241-8328  Ultima Data Network         Milwaukee          WI     V32B
414-271-0576  Special Times               Milwaukee          WI     V32B
414-282-9580  Ye Olde Pawn Shoppe ]I[     Milwaukee          WI     V32B
414-384-1701  Modern Pastimes             Milwaukee          WI     V32
414-426-1306  The Back Fence BBS          Oshkosh            WI     V32
414-445-6969  Starcom                     Milwaukee          WI     V32
414-462-2874  The Wheelchair Ramp         Milwaukee          WI     V32B
414-476-8468  The County Line BBS 1       West Allis         WI     V32B
414-545-6178  The End of the Galaxy BBS   West Allis         WI     V32B
414-725-7598  Homebuilt Flyer             Neenah             WI     V32B
414-733-3882  Applegate South             Appleton           WI     V32
414-738-1219  Applegate                   Appleton           WI     V32
414-739-8226  Foxy's Place                Appleton           WI     V32
414-764-9346  The Castle                  Oak Creek          WI     V32
414-796-8408  Top Gun ][                  Brookfield         WI     V32
414-966-3552  Sirius Cybernetics          Oconomowoc         WI     V32
415-323-4198  SPACE BBS                   Menlo Park         CA     V32B
415-331-6241  Marin County Net            Sausalito          CA     V32B
415-337-5416  The PC GFX Exchange         San Francisco      CA     V32B
415-349-8408  Wally World                 San Mateo          CA     V32
415-398-6171  The Boundary Line           San Francisco      CA     V32B
415-431-0473  SeaHunt BBS Subscriber      San Francisco      CA     V32B
415-474-4523  The Network 2000            San Francisco      CA     V32
415-479-8328  Stonehenge BBS              San Rafael         CA     V32
415-494-3116  AHA Hydrogen BBS            Palo Alto          CA     V32B
415-564-9440  IBBS West                   San Francisco      CA     V32B
415-564-9998  IBBS West                   San Francisco      CA     V32B
415-572-8219  Hints BBS                   San Mateo          CA     V32B
415-572-9626  PCBL TOO                    San Mateo          CA     V32
415-573-5473  HINTS BBS                   San Mateo          CA     V32
415-573-8709  The Anxiety Closet          San Mateo          CA     V32
415-586-6616  THE EROGENOUS ZONE!         San Francisco      CA     V34
415-598-0398  The Micro Foundry           San Carlos/Blmt    CA     V32B
415-621-2609  SF PCUG BBS                 San Francisco      CA     V32
415-626-7812  Gillian/Craig Asso.         San Francisco      CA     V32
415-641-9862  The Ultramagnetic Empire    San Francisco      CA     V32B
415-681-5862  NU-BBS                      San Francisco      CA     V32B
415-681-9594  Macademe/Emma               San Francisco      CA     V32B
415-695-0759  Late Night Software         San Francisco      CA     V32
415-742-6441  VidGame BBS                 San Bruno          CA     V32B
415-802-9011  Charisma II BBS             San Carlos         CA     V32B
415-861-8290  Coconino County             San Francisco      CA     V32
415-876-0299  The Dragon's Lair           S. San Francisco   CA     V32
415-968-7481  Unofficial HSA-UWC BBS      Mountain View      CA     V32B
415-969-6321  Haltek Electronics          Mountain View      CA     V32
415-989-9804  Generic CG's BBS            San Francisco      CA     V32
415-992-2140  Writers Block               San Jose           CA     V32
415-992-3780  The Micro Foundry           San Francisco      CA     V32B
415-992-4320  The Shareware Exchange!     Daly City          CA     V32B
417-673-2283  LANStar                     Joplin             MO     V32
417-732-8720  The Entry Point             Republic           MO     V32
417-820-3514  The Oak Tree BBS            Springfield        MO     V32
417-886-2563  Tele-Quest BBS              Springfield        MO     V32
419-448-1421  NorthWest Ohio RBBS         Tiffin             OH     V32
419-475-6003  Toledo's TBBS               Toledo             OH     V32
419-476-0389  Toledo Home Education BBS   Toledo             OH     V32
419-691-1125  Jet-Lag Rbbs                Northwood          OH     V32B
419-697-9443  Jet-Lag Rbbs                Northwood          OH     V32B
419-826-1218  The Data Point              Swanton            OH     V32
4O4-565-O878  The Base                    Marietta           GA     V32B
4O4-5O9-7813  The Base                    Marietta           GA     V32B
501-268-2291  The Morganton BBS           Searcy             AR     V32B
501-329-9419  Thunder BBS                 Conway             AR     V32
501-444-8080  NoWeARkNet                  Fayetteville       AR     V32
501-532-5641  MCS1ott's BBS               Blytheville        AR     V32B
501-753-6859  Ferret Face                 North Little Rock  AR     V32B
501-753-8121  Ferret Face                 North Little Rock  AR     V32B
501-791-0124  Ferret Face                 North Little Rock  AR     V32
501-791-0125  Ferret Face                 North Little Rock  AR     V32B
501-862-3976  Da Connection               ElDorado           AR     V32
501-864-0640  The U.S.A. BBS              ElDorado           AR     V32
501-886-1701  Phil's BBS                  Walnut Ridge       AR     V32
501-968-3910  Karate & Comics             Russellville       AR     V32B
502-423-8690  The Fifth Dimension         Louisville         KY     V32
502-458-0511  Reciprocity Rules!          Louisville         KY     V32B
502-575-3359  Hangar 18 BBS               Paducah            KY     V32B
502-762-3140  Fido-Racer                  Murray             KY     V32
503-228-5866  Barristers' BBS             Portland           OR     V32
503-233-0850  Big Larry's RBBS-PC         Portland           OR     V32
503-245-0229  Atarian BBS 2               Portland           OR     V32
503-245-2006  Sadie's Swingshift          Portland           OR     V32B
503-245-4961  Hi Tech Tools/Librarians    Portland           OR     V32
503-245-9730  Atarian BBS                 Portland           OR     V32
503-249-6949  1st Choice Communications   Portland           OR     V32B
503-286-2802  Sea Breeze BBS              Portland           OR     V32
503-287-7091  Future Tech                 Portland           OR     V32
503-297-8667  Trade Winds                 Portland           OR     V32
503-343-1483  Baudville                   Eugene             OR     V32
503-343-4520  Pandora's Box               Eugene             OR     V32
503-364-2791  Gamorian Vortex Project     Salem              OR     V32
503-370-9739  Purgatory BBS               Salem              OR     V32
503-393-5580  Chemeketa Online            Salem              OR     V32
503-452-9291  Ghost Walker BBS            Portland           OR     V32
503-591-5103  The Bare Bones BBS          Aloha              OR     V32
503-635-8841  ET SCRIBE<M>                Lake Oswego        OR     V32
503-636-9562  CyBorg Systems BBS          Lake Oswego        OR     V32B
503-640-0728  Com-Dat                     Portland           OR     V32
503-642-5548  Points R Us                 Aloha              OR     V32
503-643-8249  The Silver Falcon           Beaverton          OR     V32
503-646-4312  The Bear's Den              Beaverton          OR     V32
503-648-3976  Compulink Northwest II      Hillsboro          OR     V32
503-649-5833  Images BBS                  Portland           OR     V32
503-650-8727  AfterBurner!                Oregon City        OR     V32
503-656-9790  Blue Lake System            West Linn          OR     V32B
503-659-9691  Mad BBS                     Portland           OR     V32
503-663-1459  Et Cetera                   Gresham            OR     V32
503-687-2355  Blind Leap                  Eugene             OR     V32B
503-690-7581  SCP Services                Hillsboro          OR     V32
503-691-0927  Spectrum BBS                Tualatin           OR     V32
503-741-1829  Well Of Souls               Springfield        OR     V32
503-761-3003  Eastside Data Services #2   Portland           OR     V32
503-771-0732  The Electric Eye            Portland           OR     V32
503-881-1733  The Dark Star System        Ontario            OR     V32B
503-928-9535  Around The Klock Software   Albany             OR     V32B
504-244-1417  Pontchippi                  New Orleans        LA     V32
504-273-3116  HelpNet #1                  Baton Rouge        LA     V32
504-275-7389  HelpNet #2                  Baton Rouge        LA     V32
504-282-0273  Grampa's House              New Orleans        LA     V32
504-282-5753  The Dungeon                 New Orleans        LA     V32
504-347-8152  Swamp Thang BBS             Marrero            LA     V32B
504-436-1887  N.O.P.C. Club               New Orleans        LA     V32
504-527-0022  Ozone BBS                   New Orleans        LA     V32B
504-542-0380  Ch.A.D.D./K12net BBS        Hammond            LA     V32B
504-738-7080  LA Medsig                   Harahan            LA     V32
504-756-9658  Cajun Clickers BBS          Baton Rouge        LA     V32
504-764-0449  The Eagle's Nest            Norco              LA     V32B
504-767-0681  Hell BBS                    Baton Rouge        LA     V32
504-769-4969  Arkham Asylum BBS           Baton Rouge        LA     V32
504-796-5860  NorthLake Data Exchange     Folsom             LA     V32
504-885-0118  The Generic BBS!            New Orleans        LA     V32
504-885-5928  The Southern Star           New Orleans        LA     V32
504-891-3142  The Ozone Hole BBS          New Orleans        LA     V32B
504-926-7903  The Alternatives BBS        Baton Rouge        LA     V32
504-947-6761  The RedLight BBS            New Orleans        LA     V32
505-266-0697  The Tech Source             Albuquerque        NM     V32B
505-293-0010  THe GaRBaGe DuMP BBS!       Albuquerque        NM     V32
505-434-0724  The ROCK BBS                Alamogordo         NM     V32
505-589-0319  Randy's Basement            Anthony            NM     V32
505-822-0836  Land of Enchantment BBS     Albuquerque        NM     V32
505-822-0837  Land of Enchantment BBS     Albuquerque        NM     V32B
505-843-9597  Hackers Den BBS             Albuquerque        NM     V32B
505-865-8385  High Mesa Publishing        Los Lunas          NM     V32
505-899-9282  Night Magic BBS             Albuquerque        NM     V32B
507-281-8292  The Castle BBS              Rochester          MN     V32
508-222-5875  FirePlug II                 N Attleboro        MA     V32
508-234-7062  SportBike BBS               Northbridge        MA     VFC
508-283-5712  The Twin Lights BBS         Gloucester         MA     V32B
508-429-8857  Cul De Sac                  Holliston          MA     V32
508-441-9215  Adventure Unlimited         Lowell             MA     V32
508-454-0356  Space Station               Lowell             MA     V32
508-474-0328  Aeolus BBS                  Andover            MA     V32B
508-481-7147  WayStar                     Marlborough        MA     V32
508-520-1516  The Apogee II               Franklin           MA     V32
508-528-2295  Computer Confident          Franklin           MA     V32
508-568-0957  The Imperium                Hudson             MA     V32
508-626-2481  MSI SW BBS                  Framingham         MA     V32
508-652-9334  HMM BBS 2                   Natick             MA     V32
508-655-8927  HMM BBS 1                   Natick             MA     V32B
508-682-5329  The Business Card           Lawrence           MA     V32B
508-697-7771  PriZm BBS                   Bridgewater        MA     V32
508-699-9357  FirePlug                    N Attleboro        MA     V32
508-750-0250  PandA's Den BBS             Danvers            MA     V32B
508-772-6373  Denis OPUS                  Ayer               MA     V32
508-788-1603  The SKATEboard BBS          Framingham         MA     V32
508-840-8017  TC-Trader                   Leominster         MA     V32B
508-865-0499  Davy Jones Locker #3        W Millbury         MA     V32
508-881-5209  The IMPosium BBS            Boston             MA     V32B
508-881-6912  The IMPosium BBS            Boston             MA     V32B
509-459-5233  MINERVA On-Line             Spokane            WA     V32B
509-487-6572  Gonzaga Law BBS             Spokane            WA     V32B
509-624-6799  Inland Empire Archive       Spokane            WA     V32
509-663-5232  Electronic Library          Wenatchee          WA     V32
509-758-6248  STARWEST-BBS                Clarkston          WA     V32
509-766-0380  The CrossRoads BBS          Moses Lake         WA     V32
509-884-7803  The Hartmann Medical BBS    East Wenatchee     WA     V32
509-943-0211  OneStop PCBoard             Richland           WA     V32B
510-251-0556  Face Plant BBS              Oakland            CA     V32B
510-458-6404  The Tiffany Touch           Pittsburg          CA     V32
510-483-4823  The Black Circle            San Leandro        CA     V32
510-530-5592  PC Clubhouse BBS            Oakland            CA     V34
510-538-2040  Compu-Pal/BIBLE             Hayward            CA     VFC
510-549-0311  Dragon's Cave               Berkeley           CA     V32B
510-685-0644  Sempervirens BBS            Concord            CA     V32B
510-687-0236  OnlineComputerResources     Concord            CA     V32
510-689-4686  The GIFt Shop (tm)          Concord            CA     V32B
510-689-6811  The Sinking Ship BBS        Concord            CA     V32
510-706-0904  Cheers                      Antioch            CA     V32
510-741-6442  VidGame BBS                 San Bruno          CA     V32
510-754-2440  Seekers Haven               Antioch            CA     V32
510-778-5929  Infolinc BBS                Antioch            CA     V32
510-792-3210  The Midnight Express        Fremont            CA     V32B
510-849-1795  BMUG                        Berkeley           CA     V32
510-849-9118  BMUG                        Berkeley           CA     V32
510-865-9778  DSP Communications          Alameda            CA     V32B
510-881-5427  Bust Out BBS                Hayward            CA     V32
512-302-0223  American Atheists OnLine    Austin             TX     V32B
512-346-8075  RagBBS v.69                 Austin             TX     V32B
512-442-6091  Button and Dietz            Austin             TX     V32
513-236-0917  J&J's BBS 4                 Huber Heights      OH     V32B
513-236-4788  J&J's BBS 1                 Huber Heights      OH     V32B
513-244-2255  Access!                     Cincinnati         OH     V32B
513-294-8064  Kettering BBS               Kettering          OH     V32
513-294-9749  Dayton Shareware Online!    Dayton             OH     V34
513-299-8910  D'Bridge Support/OH USA     Kettering          OH     V32B
513-376-9711  PW&M BBS                    Xenia              OH     V32
513-383-2264  D.N.R Connection            Wilmington         OH     V32B
513-429-5818  DAYHUG                      Dayton             OH     V32B
513-438-8376  MIDI MATRIX BBS             Dayton             OH     V32
513-752-1055  Cincinnati Comp Conn        Cincinnati         OH     V32
513-860-2277  Basselope West              Cincinnati         OH     V32B
513-898-3393  Hooterville BBS             Dayton             OH     V32B
513-987-2417  Dragon BBS                  Wilmington         OH     V32
513-987-2418  Dragon BBS                  Wilmington         OH     V32
515-255-2567  TSI BBS                     Des Moines         IA     V32
515-279-3073  ZSys BBS                    Bagdad             IA     V32
515-285-1190  Alternatives                Des Moines         IA     V32
515-752-6554  Horseless Carriage          Marshalltown       IA     V32B
516-283-9631  North Sea Operations BBS    Southampton        NY     V32B
516-325-0827  Empire BBS                  Westhampton        NY     V32
516-331-5562  The Symbolic Stack Dump     Miller Place       NY     V32
516-377-0124  Intelec Online              Baldwin            NY     V32B
516-474-1472  Take-Out                    PortJefferson Stn  NY     V32
516-481-2004  Jack & Jill's LI ConneXion  East Meadow        NY     V32
516-561-6590  LICA Limbs BBS              Valley Stream      NY     V32
516-579-0050  Tele-Net Online             Seaford            NY     V32B
516-579-7507  Utopia Technologies Ltd.    Levittown          NY     V32B
516-581-6540  Captain Jack's              Brentwood          NY     V32
516-689-5833  The Realm of the Unknown    Stonybrook         NY     V32
516-694-3623  The Expressway BBS          Farmingdale        NY     V32B
516-731-1094  Fort Z BBS                  Levittown          NY     V32
516-736-3403  King Diamond's Realm        Coram              NY     V32
516-867-4447  Intelec Online              Freeport LI        NY     V32B
516-867-4448  Intelec Online              Baldwin            NY     V32B
516-868-0662  Intelec Online              Baldwin            NY     VFC
516-868-1741  Intelec Online              Baldwin            NY     VFC
516-889-3036  Your WhereHouse BBS         Oceanside          NY     V32B
516-922-5153  PC Info System BBS          Oyster Bay         NY     V32B
516-938-6722  House Of Files Online       Hicksville         NY     V32B
516-957-1465  MORDOR BBS                  Lindenhurst        NY     V32
517-337-8132  Microsystems                East Lansing       MI     V32
517-641-4802  The Rec Room II             Bath               MI     V32
517-797-2737  Classroom Earth BBS         Saginaw            MI     V32B
517-797-3740  Delight The Customer BBS    Saginaw            MI     V32B
518-383-2282  Fantasy Land                Clifton Park       NY     V32
518-583-2841  The Final Frontier II       Saratoga Springs   NY     V32
601-289-7837  Zone 1 BBS                  Kosciusko          MS     V32B
601-332-9453  !PSYCHOBABBLE!              Greenville         MS     V32
601-362-9958  Berserker BBS               Jackson            MS     V32
601-366-1664  Big Bang Theory             Jackson            MS     V32B
601-371-8597  Infinite Limit              Jackson            MS     V32
601-372-0861  After Hours BBS             Jackson            MS     VFC
601-372-6998  Electronic Dreams           Jackson            MS     V32
601-373-0018  HyperDrive                  Jackson            MS     V32B
601-856-8337  Heliport                    Madison            MS     V32B
601-875-2355  DataSync BBS                Ocean Springs      MS     V32B
601-924-4174  Xanadu BBS                  Clinton            MS     V32
601-956-9943  The Connector               Jackson            MS     V32B
601-957-3016  Cont'l Divide               Jackson            MS     V32
601-981-8220  StarNet BBS                 Jackson            MS     V32B
601-992-9459  MacHaven                    Brandon            MS     V32
602-235-9653  St Joes Hospital            Phoenix            AZ     V32
602-258-8347  Construction Net 1          Phoenix            AZ     V32
602-271-2492  CHHS BBS                    Phoenix            AZ     V32
602-275-3284  The CAD-alog BBS            Tempe              AZ     V32B
602-279-0793  Cheese Whiz Wildcat! BBS    Phoenix            AZ     V32
602-290-9854  Eternity! BBS               Tucson             AZ     V32B
602-326-2999  The Hour Glass              Tucson             AZ     V32B
602-326-9345  New Parents Network         Tucson             AZ     V32
602-458-0451  The Analog Gate             Sierra Vista       AZ     V32
602-459-2412  The New Way BBS             Fort Huachuca      AZ     V32B
602-495-1713  AZ MAC UG                   Phoenix            AZ     V32
602-524-2032  Animal Pharm BBS            Holbrook           AZ     V32
602-527-8404  The High Mountain BBS       Flagstaff          AZ     V32B
602-548-0513  Anime Archive 2             Phoenix            AZ     V32B
602-571-9063  Comm-Post                   Tucson             AZ     V32
602-579-0869  Meridith Place              Tucson             AZ     V32B
602-582-1549  Aslan's Roar Distr Ctr      Phoenix            AZ     V32
602-584-7395  Sunwise                     Sun City West      AZ     V32
602-624-5125  Community Resource On-Line  Tucson             AZ     V32B
602-730-8943  The CADalog BBS             Tempe              AZ     V32B
602-744-2314  Old Pueblo BBS              Tucson             AZ     V32B
602-745-3638  Clearwater #1               Tucson             AZ     V32B
602-747-5236  Solitude                    Tucson             AZ     V32
602-749-5968  BigFoot's RBBS-PC           Tucson             AZ     V32B
602-750-0016  Black Dragons Lair #1       Tucson             AZ     V32B
602-780-9180  The Ranch                   Phoenix            AZ     V32
602-789-0091  The BatBoard                Phoenix            AZ     V32B
602-792-3772  Nine Star                   Tucson             AZ     V32
602-820-6237  The Anarchy Connection      Mesa               AZ     V32
602-820-7861  Conceptual CAD Design BBS   Tempe              AZ     V32B
602-846-4420  Land Of Nomad               Glendale           AZ     V32
602-872-9148  Broadcaster's BBS           Phoenix            AZ     V32B
602-881-3769  Edge of Forever             Tucson             AZ     V32B
602-885-4004  PC Consulting Agency BBS    Tucson             AZ     V32B
602-886-7943  Bigfoot's RBBS-PC           Tucson             AZ     V32
602-886-8650  Midnight Oil                Tucson             AZ     V32B
602-887-1329  The Home RCS                Tucson             AZ     V32
602-888-0819  Aztec BBS                   Tucson             AZ     V32B
602-899-3386  The Hog Trough!             Chandler           AZ     V32
602-921-1651  Flatland Center             Tempe              AZ     V32
602-939-2134  Exterminator BBS            Phoenix            AZ     V32
602-943-1497  Ranch & Cattle Metro BBS    Phoenix            AZ     V32B
603-595-9677  The Starship                Amherst            NH     V32
603-666-0108  Cosmopolitan BBS            Manchester         NH     V32
603-672-8041  The Ultimate Realm          Merrimack          NH     V32
605-232-4648  The Voyager BBS             McCook Lake        SD     V32B
605-331-5831  YEBB/Youth Education BBS    Sioux Falls        SD     V32B
605-335-7288  PrairieNet BBS              Sioux Falls        SD     V32B
605-336-3578  Dakota InfoNet              Sioux Falls        SD     V32B
